trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.4317105234290788}",20,0,13.099137126698091,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.4231620823177479}",25,11,0.9453412601156641,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.41478291168158044}",25,11,-28.70943680516333,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.40656965974059817}",25,0,-15.693558936587726,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.39851904108451325}",30,2,-5.325938165705061,"{0: 25, 1: 0, 2: 2, 3: 1, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.3906278353585202}",20,10,2.608139269023302,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.3828928859751111}",20,9,-30.324286524194346,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
49,False,"{'a': 0.5, 'e': 0.37531109885139863}",25,17,14.777885885261433,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.3678794411714414}",25,15,16.838709931678054,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.36059494017307736}",25,5,-63.16614694763227,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.3534546819587792}",20,15,7.422036289128924,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.3464558103300565}",20,16,9.142483066723758,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.3395955256449382}",25,0,2.011069916179755,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.3328710836980786}",20,12,19.13013314334115,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.3262797946230385}",25,0,-69.44606724033062,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.31981902181630295}",20,5,-24.850694889783398,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
